electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Utah,Beaver County,49001,2771,87,394,12,95.0,2024-11-07T18:40:10.120000+0000
2024,Utah,Box Elder County,49003,18164,79,4224,18,82.0,2024-11-08T00:21:10.167000+0000
2024,Utah,Cache County,49005,37805,66,17775,31,95.0,2024-11-09T00:53:20.103000+0000
2024,Utah,Carbon County,49007,6217,71,2363,27,90.0,2024-11-06T06:20:15.220000+0000
2024,Utah,Daggett County,49009,414,80,98,19,80.0,2024-11-06T05:37:30.220000+0000
2024,Utah,Davis County,49011,80491,60,48380,36,75.0,2024-11-08T04:48:15.093000+0000
2024,Utah,Duchesne County,49013,6257,88,780,11,80.0,2024-11-07T23:26:45.097000+0000
2024,Utah,Emery County,49015,4226,87,594,12,95.0,2024-11-06T20:27:30.137000+0000
2024,Utah,Garfield County,49017,2182,79,527,19,95.0,2024-11-06T05:15:25.417000+0000
2024,Utah,Grand County,49019,2322,44,2817,53,95.0,2024-11-07T23:03:15.120000+0000
2024,Utah,Iron County,49021,20599,78,5334,20,95.0,2024-11-07T03:31:20.100000+0000
2024,Utah,Juab County,49023,5351,87,696,11,99.0,2024-11-06T05:39:00.093000+0000
2024,Utah,Kane County,49025,3265,73,1130,25,95.0,2024-11-08T00:23:15.133000+0000
2024,Utah,Millard County,49027,4943,87,633,11,88.0,2024-11-08T21:12:10.147000+0000
2024,Utah,Morgan County,49029,5064,79,1191,19,95.0,2024-11-06T07:27:55.127000+0000
2024,Utah,Piute County,49031,854,89,94,10,95.0,2024-11-07T16:52:15.160000+0000
2024,Utah,Rich County,49033,1210,84,213,15,95.0,2024-11-08T21:53:25.107000+0000
2024,Utah,Salt Lake County,49035,179856,43,224647,54,74.0,2024-11-08T02:46:15.200000+0000
2024,Utah,San Juan County,49037,3357,57,2433,41,83.0,2024-11-08T23:53:15.203000+0000
2024,Utah,Sanpete County,49039,6867,82,1307,16,64.0,2024-11-07T18:29:15.150000+0000
2024,Utah,Sevier County,49041,7778,88,997,11,82.0,2024-11-06T07:53:15.120000+0000
2024,Utah,Summit County,49043,6632,39,10133,60,63.0,2024-11-08T23:33:20.177000+0000
2024,Utah,Tooele County,49045,21535,69,8969,29,95.0,2024-11-07T23:23:25.117000+0000
2024,Utah,Uintah County,49047,12839,86,1815,12,94.0,2024-11-06T07:27:55.107000+0000
2024,Utah,Utah County,49049,125128,68,54552,30,62.0,2024-11-08T03:49:15.120000+0000
2024,Utah,Wasatch County,49051,9233,62,5226,35,81.0,2024-11-07T23:42:15.160000+0000
2024,Utah,Washington County,49053,63886,75,19455,23,90.0,2024-11-08T23:43:20.230000+0000
2024,Utah,Wayne County,49055,1212,75,372,23,95.0,2024-11-07T22:26:45.100000+0000
2024,Utah,Weber County,49057,55427,60,34910,38,80.0,2024-11-07T23:40:10.167000+0000
