electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Virginia,Accomack County,51001,9501,56,7371,43,95.0,2024-11-08T19:53:50.087000+0000
2024,Virginia,Albemarle County,51003,20721,32,42472,66,91.0,2024-11-08T13:43:15.133000+0000
2024,Virginia,Alleghany County,51005,5973,74,2085,26,95.0,2024-11-08T21:54:15.123000+0000
2024,Virginia,Amelia County,51007,5690,72,2163,27,91.0,2024-11-06T04:19:56.807000+0000
2024,Virginia,Amherst County,51009,11742,68,5429,31,92.0,2024-11-08T21:14:40.137000+0000
2024,Virginia,Appomattox County,51011,7127,75,2299,24,93.0,2024-11-06T02:26:50.647000+0000
2024,Virginia,Arlington County,51013,23624,20,95133,79,93.0,2024-11-08T13:46:00.097000+0000
2024,Virginia,Augusta County,51015,31765,73,11176,26,94.0,2024-11-08T20:20:50.107000+0000
2024,Virginia,Bath County,51017,1935,76,581,23,95.0,2024-11-08T18:05:55.157000+0000
2024,Virginia,Bedford County,51019,37232,75,12125,24,93.0,2024-11-06T06:27:35.143000+0000
2024,Virginia,Bland County,51021,2974,85,519,15,95.0,2024-11-08T18:40:55.127000+0000
2024,Virginia,Botetourt County,51023,15563,72,5816,27,92.0,2024-11-06T02:29:50.317000+0000
2024,Virginia,Brunswick County,51025,3475,46,4116,54,92.0,2024-11-06T01:51:05.883000+0000
2024,Virginia,Buchanan County,51027,7786,85,1331,15,95.0,2024-11-06T01:59:55.677000+0000
2024,Virginia,Buckingham County,51029,4773,61,2946,38,93.0,2024-11-06T03:57:45.097000+0000
2024,Virginia,Campbell County,51031,22624,74,7830,26,95.0,2024-11-08T21:16:35.110000+0000
2024,Virginia,Caroline County,51033,9269,54,7764,45,95.0,2024-11-06T03:13:55.537000+0000
2024,Virginia,Carroll County,51035,12890,81,2868,18,95.0,2024-11-08T19:36:40.170000+0000
2024,Virginia,Charles City County,51036,1877,44,2331,55,92.0,2024-11-06T04:03:20.280000+0000
2024,Virginia,Charlotte County,51037,3909,66,1970,33,91.0,2024-11-08T18:46:50.133000+0000
2024,Virginia,Chesterfield County,51041,92605,45,110056,54,95.0,2024-11-08T23:13:35.177000+0000
