electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Washington,Adams County,53001,3648,71,1381,27,87.0,2024-11-08T23:57:40.103000+0000
2024,Washington,Asotin County,53003,6927,62,4042,36,94.0,2024-11-07T23:41:35.100000+0000
2024,Washington,Benton County,53005,50124,61,30787,37,80.0,2024-11-09T00:55:40.170000+0000
2024,Washington,Chelan County,53007,22090,54,18017,44,95.0,2024-11-09T00:07:10.090000+0000
2024,Washington,Clallam County,53009,20063,45,23555,53,91.0,2024-11-09T00:55:40.123000+0000
2024,Washington,Clark County,53011,105571,45,121919,52,84.0,2024-11-08T01:31:20.227000+0000
2024,Washington,Columbia County,53013,1645,70,632,27,94.0,2024-11-06T04:41:55.113000+0000
2024,Washington,Cowlitz County,53015,29765,58,19939,39,84.0,2024-11-08T02:08:35.110000+0000
2024,Washington,Douglas County,53017,10593,63,5732,34,78.0,2024-11-08T18:10:35.233000+0000
2024,Washington,Ferry County,53019,2622,65,1283,32,92.0,2024-11-09T00:07:40.410000+0000
2024,Washington,Franklin County,53021,18510,60,11363,37,94.0,2024-11-09T00:30:35.133000+0000
2024,Washington,Garfield County,53023,968,72,330,25,89.0,2024-11-08T23:21:40.147000+0000
2024,Washington,Grant County,53025,13321,68,5752,30,51.0,2024-11-07T01:06:15.177000+0000
2024,Washington,Grays Harbor County,53027,16568,52,14526,46,83.0,2024-11-08T21:58:35.180000+0000
2024,Washington,Island County,53029,13422,39,20250,59,63.0,2024-11-08T01:46:35.333000+0000
2024,Washington,Jefferson County,53031,4670,24,14219,74,78.0,2024-11-07T23:43:20.153000+0000
2024,Washington,King County,53033,230711,22,767187,74,85.0,2024-11-08T23:47:40.123000+0000
2024,Washington,Kitsap County,53035,47709,38,73359,59,78.0,2024-11-08T23:47:35.177000+0000
2024,Washington,Kittitas County,53037,13585,56,9916,41,92.0,2024-11-09T01:22:30.100000+0000
2024,Washington,Klickitat County,53039,5645,52,4811,45,79.0,2024-11-09T01:15:10.140000+0000
2024,Washington,Lewis County,53041,28776,65,14119,32,95.0,2024-11-08T00:49:35.343000+0000
2024,Washington,Lincoln County,53043,4690,74,1514,24,90.0,2024-11-07T23:33:35.147000+0000
2024,Washington,Mason County,53045,16965,50,16236,47,91.0,2024-11-09T00:07:40.370000+0000
2024,Washington,Okanogan County,53047,11244,57,8070,41,93.0,2024-11-08T20:34:35.140000+0000
2024,Washington,Pacific County,53049,5942,49,5916,49,86.0,2024-11-08T23:40:10.220000+0000
2024,Washington,Pend Oreille County,53051,5723,68,2422,29,95.0,2024-11-07T19:14:40.137000+0000
2024,Washington,Pierce County,53053,182287,43,227805,54,91.0,2024-11-08T23:47:35.090000+0000
2024,Washington,San Juan County,53055,2301,22,7856,75,79.0,2024-11-07T00:20:35.127000+0000
2024,Washington,Skagit County,53057,17379,43,22317,55,55.0,2024-11-08T01:57:20.103000+0000
2024,Washington,Skamania County,53059,3816,54,2996,43,95.0,2024-11-07T23:25:15.117000+0000
2024,Washington,Snohomish County,53061,153493,39,228638,58,90.0,2024-11-09T01:15:35.113000+0000
2024,Washington,Spokane County,53063,134459,51,122567,46,89.0,2024-11-09T00:55:40.157000+0000
2024,Washington,Stevens County,53065,10170,70,4161,29,51.0,2024-11-08T20:22:35.110000+0000
2024,Washington,Thurston County,53067,48760,38,75997,59,76.0,2024-11-09T00:07:40.390000+0000
2024,Washington,Wahkiakum County,53069,1579,57,1103,40,92.0,2024-11-07T21:23:35.100000+0000
2024,Washington,Walla Walla County,53071,9154,54,7481,44,54.0,2024-11-08T17:40:35.163000+0000
2024,Washington,Whatcom County,53073,48527,36,82090,61,95.0,2024-11-09T00:31:40.143000+0000
2024,Washington,Whitman County,53075,5432,47,5851,51,55.0,2024-11-07T04:51:20.297000+0000
2024,Washington,Yakima County,53077,34897,58,24151,40,62.0,2024-11-09T00:03:35.153000+0000
