electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Wisconsin,Adams County,55001,7362,62,4329,37,100.0,2020-11-24T13:53:36.397000+0000
2020,Wisconsin,Ashland County,55003,3841,44,4801,55,100.0,2020-11-24T13:53:36.483000+0000
2020,Wisconsin,Barron County,55005,15803,62,9194,36,100.0,2020-11-24T13:53:36.493000+0000
2020,Wisconsin,Bayfield County,55007,4617,42,6147,57,100.0,2020-11-24T13:53:36.510000+0000
2020,Wisconsin,Brown County,55009,75871,53,65511,46,100.0,2020-11-24T13:53:36.530000+0000
2020,Wisconsin,Buffalo County,55011,4834,62,2860,37,100.0,2020-11-24T13:53:36.607000+0000
2020,Wisconsin,Burnett County,55013,6462,64,3569,35,100.0,2020-11-24T13:53:36.643000+0000
2020,Wisconsin,Calumet County,55015,18156,59,12116,39,100.0,2020-11-24T13:36:32.873000+0000
2020,Wisconsin,Chippewa County,55017,21317,59,13983,39,100.0,2020-11-24T13:36:33.093000+0000
2020,Wisconsin,Clark County,55019,10002,67,4524,30,100.0,2020-11-24T13:36:33.300000+0000
2020,Wisconsin,Columbia County,55021,16927,50,16410,49,100.0,2020-11-24T13:36:33.427000+0000
2020,Wisconsin,Crawford County,55023,4620,53,3953,46,100.0,2020-11-24T13:36:33.793000+0000
2020,Wisconsin,Dane County,55025,78800,23,260185,76,100.0,2020-12-08T01:19:12.807000+0000
2020,Wisconsin,Dodge County,55027,31355,65,16356,34,100.0,2020-11-24T13:36:34.107000+0000
2020,Wisconsin,Door County,55029,9752,49,10044,50,100.0,2020-11-24T13:36:34.250000+0000
2020,Wisconsin,Douglas County,55031,10923,44,13218,54,100.0,2020-11-24T13:36:34.617000+0000
2020,Wisconsin,Dunn County,55033,13173,56,9897,42,100.0,2020-11-24T13:36:34.997000+0000
2020,Wisconsin,Eau Claire County,55035,25341,44,31620,54,100.0,2020-11-24T13:36:35.143000+0000
2020,Wisconsin,Florence County,55037,2133,73,781,27,100.0,2020-11-24T13:36:35.237000+0000
2020,Wisconsin,Fond du Lac County,55039,35754,63,20588,36,100.0,2020-11-24T13:36:35.453000+0000
2020,Wisconsin,Forest County,55041,3285,65,1721,34,100.0,2020-11-24T13:36:35.537000+0000
2020,Wisconsin,Grant County,55043,14142,55,10998,43,100.0,2020-11-24T13:36:35.683000+0000
2020,Wisconsin,Green County,55045,10169,48,10851,51,100.0,2020-11-24T13:36:35.810000+0000
2020,Wisconsin,Green Lake County,55047,7168,67,3344,31,100.0,2020-11-24T13:36:36.080000+0000
2020,Wisconsin,Iowa County,55049,5909,42,7828,56,100.0,2020-11-24T13:36:36.190000+0000
2020,Wisconsin,Iron County,55051,2438,61,1533,38,100.0,2020-11-24T13:36:36.330000+0000
2020,Wisconsin,Jackson County,55053,5791,57,4256,42,100.0,2020-11-24T13:36:36.503000+0000
2020,Wisconsin,Jefferson County,55055,27208,57,19904,42,100.0,2020-11-24T13:36:36.707000+0000
2020,Wisconsin,Juneau County,55057,8749,64,4746,35,100.0,2020-11-24T13:36:36.800000+0000
2020,Wisconsin,Kenosha County,55059,44972,51,42193,48,100.0,2020-11-24T13:36:36.967000+0000
2020,Wisconsin,Kewaunee County,55061,7927,66,3976,33,100.0,2020-11-24T13:36:37.320000+0000
2020,Wisconsin,La Crosse County,55063,28684,42,37846,56,100.0,2020-11-24T13:36:37.527000+0000
2020,Wisconsin,Lafayette County,55065,4821,56,3647,43,100.0,2020-11-24T13:36:37.670000+0000
2020,Wisconsin,Langlade County,55067,7330,66,3704,33,100.0,2020-11-24T13:36:37.760000+0000
2020,Wisconsin,Lincoln County,55069,10017,61,6261,38,100.0,2020-11-24T13:36:37.877000+0000
2020,Wisconsin,Manitowoc County,55071,27218,61,16818,38,100.0,2020-11-24T13:36:37.960000+0000
