electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,West Virginia,Barbour County,54001,5116,77,1457,22,100.0,2020-11-24T13:42:19.167000+0000
2020,West Virginia,Berkeley County,54003,33279,65,17186,33,100.0,2020-11-24T13:42:19.213000+0000
2020,West Virginia,Boone County,54005,6816,76,2041,23,100.0,2020-12-06T13:48:29.257000+0000
2020,West Virginia,Braxton County,54007,4120,73,1457,26,100.0,2020-12-06T13:49:27.377000+0000
2020,West Virginia,Brooke County,54009,7545,71,2947,28,100.0,2020-12-06T13:48:49.313000+0000
2020,West Virginia,Cabell County,54011,21721,58,14994,40,100.0,2020-11-24T13:42:19.423000+0000
2020,West Virginia,Calhoun County,54013,2364,80,568,19,100.0,2020-11-24T13:42:19.510000+0000
2020,West Virginia,Clay County,54015,2679,80,641,19,100.0,2020-11-24T13:42:19.690000+0000
2020,West Virginia,Doddridge County,54017,2619,85,435,14,100.0,2020-12-06T13:46:30.113000+0000
2020,West Virginia,Fayette County,54019,11580,69,5063,30,100.0,2020-12-06T13:47:32.803000+0000
2020,West Virginia,Gilmer County,54021,2012,76,599,23,100.0,2020-12-06T13:46:50.323000+0000
2020,West Virginia,Grant County,54023,4871,88,607,11,100.0,2020-12-06T13:46:11.707000+0000
2020,West Virginia,Greenbrier County,54025,10925,69,4655,29,100.0,2020-11-24T13:42:19.920000+0000
2020,West Virginia,Hampshire County,54027,8033,80,1939,19,100.0,2020-11-24T13:42:19.943000+0000
2020,West Virginia,Hancock County,54029,9806,71,3790,28,100.0,2020-12-06T13:45:59.600000+0000
2020,West Virginia,Hardy County,54031,4859,77,1381,22,100.0,2020-11-24T13:42:20.000000+0000
2020,West Virginia,Harrison County,54033,20683,68,9215,30,100.0,2020-12-06T13:47:26.627000+0000
2020,West Virginia,Jackson County,54035,10093,75,3207,24,100.0,2020-12-06T13:45:37.250000+0000
2020,West Virginia,Jefferson County,54037,15033,54,12127,44,100.0,2020-11-24T13:42:20.043000+0000
2020,West Virginia,Kanawha County,54039,46398,56,34344,42,100.0,2020-12-06T13:44:54.623000+0000
2020,West Virginia,Lewis County,54041,5782,78,1538,21,100.0,2020-12-06T13:46:03.613000+0000
2020,West Virginia,Lincoln County,54043,6012,77,1711,22,100.0,2020-12-06T13:33:29.287000+0000
2020,West Virginia,Logan County,54045,10534,81,2333,18,100.0,2020-12-06T13:45:29.180000+0000
2020,West Virginia,McDowell County,54047,5148,79,1333,20,100.0,2020-12-06T13:45:23.123000+0000
2020,West Virginia,Marion County,54049,16300,63,8901,34,100.0,2020-12-06T13:48:39.217000+0000
2020,West Virginia,Marshall County,54051,10435,74,3455,25,100.0,2020-12-06T13:45:22.877000+0000
2020,West Virginia,Mason County,54053,8491,76,2526,23,100.0,2020-12-06T13:40:36.090000+0000
2020,West Virginia,Mercer County,54055,19237,77,5556,22,100.0,2020-12-06T13:45:04.660000+0000
2020,West Virginia,Mineral County,54057,10040,78,2660,21,100.0,2020-11-24T13:38:15.637000+0000
2020,West Virginia,Mingo County,54059,8544,85,1397,14,100.0,2020-12-06T13:45:10.710000+0000
2020,West Virginia,Monongalia County,54061,20803,49,20282,48,100.0,2020-11-24T13:38:15.993000+0000
